varying,value_deg,alpha_deg,beta_deg,flap_deg,aileron_deg,elevator_deg,rudder_deg,CL_avl,CD_avl,CY_avl,Cl_avl,Cm_avl,Cn_avl,CL_simple,CD_simple,CY_simple,Cl_simple,Cm_simple,Cn_simple
flap,-15,4.0,0.0,-15,0.0,0.0,0.0,-0.1873,0.00435,0.0,-0.0,0.06093,-0.0,0.019321,0.035267,0.0,0.0,-0.035717,0.0
flap,-10,4.0,0.0,-10,0.0,0.0,0.0,0.03153,0.00095,-0.0,-0.0,-0.02296,-0.0,0.248125,0.023937,0.0,0.0,-0.088131,0.0
flap,-5,4.0,0.0,-5,0.0,0.0,0.0,0.25008,0.0034,-0.0,0.0,-0.10557,0.0,0.47693,0.017373,0.0,0.0,-0.139417,0.0
flap,0,4.0,0.0,0,0.0,0.0,0.0,0.46835,0.0117,-0.0,0.0,-0.18689,0.0,0.705734,0.015573,0.0,0.0,-0.189574,0.0
flap,5,4.0,0.0,5,0.0,0.0,0.0,0.68635,0.02586,-0.0,0.0,-0.26693,0.0,0.934539,0.018538,0.0,0.0,-0.238603,0.0
flap,10,4.0,0.0,10,0.0,0.0,0.0,0.90406,0.04588,-0.0,0.0,-0.34568,0.0,1.163343,0.026267,0.0,0.0,-0.286503,0.0
flap,15,4.0,0.0,15,0.0,0.0,0.0,1.1215,0.07175,-0.0,0.0,-0.42315,-0.0,1.392147,0.038761,0.0,0.0,-0.333275,0.0
