varying,value_deg,alpha_deg,beta_deg,flap_deg,aileron_deg,elevator_deg,rudder_deg,CL_avl,CD_avl,CY_avl,Cl_avl,Cm_avl,Cn_avl,CL_simple,CD_simple,CY_simple,Cl_simple,Cm_simple,Cn_simple
aileron,-15,4.0,0.0,0.0,-15,0.0,0.0,0.46652,0.04109,0.01578,-0.17523,-0.17957,-0.00494,0.705734,0.037014,0.0,-0.205459,-0.184496,-0.013842
aileron,-10,4.0,0.0,0.0,-10,0.0,0.0,0.46754,0.02476,0.01052,-0.11682,-0.18364,-0.0033,0.705734,0.025102,0.0,-0.136973,-0.187317,-0.009228
aileron,-5,4.0,0.0,0.0,-5,0.0,0.0,0.46815,0.01497,0.00526,-0.05841,-0.18608,-0.00165,0.705734,0.017956,0.0,-0.068486,-0.18901,-0.004614
aileron,0,4.0,0.0,0.0,0,0.0,0.0,0.46835,0.0117,-0.0,0.0,-0.18689,0.0,0.705734,0.015573,0.0,0.0,-0.189574,0.0
aileron,5,4.0,0.0,0.0,5,0.0,0.0,0.46815,0.01497,-0.00526,0.05841,-0.18608,0.00165,0.705734,0.017956,0.0,0.068486,-0.18901,0.004614
aileron,10,4.0,0.0,0.0,10,0.0,0.0,0.46754,0.02476,-0.01052,0.11682,-0.18364,0.0033,0.705734,0.025102,0.0,0.136973,-0.187317,0.009228
aileron,15,4.0,0.0,0.0,15,0.0,0.0,0.46652,0.04109,-0.01578,0.17523,-0.17957,0.00494,0.705734,0.037014,0.0,0.205459,-0.184496,0.013842
