file,speed_mps,alpha_deg,rpm_front,rpm_rear,Fx_resid,Fz_resid,My_resid,residual_norm
trim_fallback_40mps.json,40.0,16.0,0.0,2759.4081713715004,-1743.2753280665447,22650.735145492108,-10522.346400106362,25036.265401702953
trim_fallback_60mps.json,60.0,16.0,1680.5921392064904,2779.8803110497206,-1888.8087325286192,20457.405404944213,-9503.440163666008,22635.99808435001
trim_fallback_70mps.json,70.0,16.0,2229.8563619658985,2788.861880425923,-1758.7539278039412,19048.801230633893,-8849.076366309135,21077.385896726755
trim_fallback_80mps.json,80.0,16.0,2729.573282860197,2799.1894198990276,-1608.6906915831587,17423.48872181429,-8094.041215512742,19278.987218699924
