key,name,tilt_deg,vinf_mps,family,score,classification,front_collective_rpm,rear_collective_rpm,delta_f_deg,delta_a_deg,delta_e_deg,delta_r_deg,theta_deg,u_mps,w_mps,alpha_deg,linearization_available,linearization_latest_file
tilt_15__vinf_7p5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_hover_default,LowSpeedScored_Tilt15_V7p5,15,7.5,front_rear_free_flap_elevator,1.15475201809339e-06,exact_trim,1886.31173250122,1716.34474367379,-3.44558578342426,0,-22.6878337767197,0,8.10058107869844,7.42516683107308,1.05683455775775,8.10058106042011,1,
tilt_15__vinf_45__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_15__V_45__rear_950,15,45,low_speed_force_balance_rear_fixed,NaN,exact_trim,1228.30286254782,950,9.01218709083689,NaN,-3.12543681201213,NaN,-0.0911531556659567,44.9999430521954,-0.071591490822182,-0.091153155632359,1,
tilt_20__vinf_2p5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_entry_lowspeedscored_tilt15_v2p5,LowSpeedScored_Tilt20_V2p5,20,2.5,front_rear_free_flap_elevator,1.6619912660693e-11,exact_trim,1924.73736113149,1717.26256822475,11.383329419653,0,-24.5877901484947,0,11.0950034031854,2.45327362385218,0.481090975351093,11.0950034031622,1,
tilt_20__vinf_5__family_front_rear_free_flap_elevator__source_transition_trim_lowmid_guidegrid_scored__seed_guide_v5_t20_fm150_r0,MidbandGuide_Tilt20_V5,20,5,front_rear_free_flap_elevator,4.15780129144096e-12,exact_trim,1925.85521727934,1713.52802767886,-24.7850161775219,0,-9.72846565523849,0,11.1218929584307,4.90609514452217,0.964484542590724,11.1218929584305,1,
tilt_20__vinf_7p5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_prop_first_pass_tilt_20_v_7p5,LowSpeedScored_Tilt20_V7p5,20,7.5,front_rear_free_flap_elevator,2.54366357620848e-08,exact_trim,1923.49322705495,1708.96891995663,-24.1901662306082,0,-13.9123900939518,0,11.0729955970883,7.36037470730751,1.44044584863129,11.0729955899694,1,
tilt_20__vinf_10__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_history_1,LowSpeedScored_Tilt20_V10,20,10,front_rear_free_flap_elevator,2.93261936303357e-13,exact_trim,1891.57577257806,1693.13886502297,17.4522243682697,0,-15.028223591134,0,10.1146742116298,9.84458233933822,1.7561886470396,10.1146742116298,1,
tilt_20__vinf_15__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_history_2,LowSpeedScored_Tilt20_V15,20,15,front_rear_free_flap_elevator,8.85014424725722e-09,exact_trim,1850.18329070439,1678.22345124399,11.6319248155577,0,-25.0000000714606,0,9.22210578050362,14.8061175975169,2.40393046825541,9.22210577161757,1,
tilt_20__vinf_30__family_front_rear_free_flap_elevator__source_transition_trim_map_bridge_scored__seed_history_35,BridgeScored_Tilt20_V30,20,30,front_rear_free_flap_elevator,1.23873774244612e-10,exact_trim,1627.02794775563,1231.59274083752,23.7621446602678,0,20.1370481576592,0,1.1467894445435,29.9939910461439,0.600417458250401,1.14678944453361,1,
tilt_20__vinf_45__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_20__V_45__rear_800,20,45,low_speed_force_balance_rear_fixed,NaN,exact_trim,1157.72641846949,800,10.3163708311945,NaN,-3.7437367300751,NaN,0.267172237603222,44.9995107634492,0.209835824282354,0.267172237603448,1,
tilt_22p5__vinf_5__family_front_rear_free_flap_elevator__source_transition_trim_lowmid_guidegrid_scored__seed_guide_v5_t22p5_f150_r150,MidbandGuide_Tilt22p5_V5,22.5,5,front_rear_free_flap_elevator,1.0722055495207e-11,exact_trim,1931.35647771148,1704.98282223006,19.0701210380829,0,-20.3827284240949,0,12.3733313982473,4.88386061072728,1.07140353508772,12.3733313982467,1,
