varying,value_deg,alpha_deg,beta_deg,flap_deg,aileron_deg,elevator_deg,rudder_deg,CL_avl,CD_avl,CY_avl,Cl_avl,Cm_avl,Cn_avl,CL_simple,CD_simple,CY_simple,Cl_simple,Cm_simple,Cn_simple
rudder,-15,4.0,0.0,0.0,0.0,0.0,-15,0.46693,0.02007,0.06602,0.00751,-0.18075,-0.01923,0.705734,0.01894,0.054873,0.006184,-0.188552,-0.015211
rudder,-10,4.0,0.0,0.0,0.0,0.0,-10,0.46772,0.01542,0.04401,0.00501,-0.18416,-0.01282,0.705734,0.017069,0.036582,0.004122,-0.18912,-0.010141
rudder,-5,4.0,0.0,0.0,0.0,0.0,-5,0.46819,0.01263,0.02201,0.0025,-0.18621,-0.00641,0.705734,0.015947,0.018291,0.002061,-0.18946,-0.00507
rudder,0,4.0,0.0,0.0,0.0,0.0,0,0.46835,0.0117,-0.0,0.0,-0.18689,0.0,0.705734,0.015573,0.0,0.0,-0.189574,0.0
rudder,5,4.0,0.0,0.0,0.0,0.0,5,0.46819,0.01263,-0.02201,-0.0025,-0.18621,0.00641,0.705734,0.015947,-0.018291,-0.002061,-0.18946,0.00507
rudder,10,4.0,0.0,0.0,0.0,0.0,10,0.46772,0.01542,-0.04401,-0.00501,-0.18416,0.01282,0.705734,0.017069,-0.036582,-0.004122,-0.18912,0.010141
rudder,15,4.0,0.0,0.0,0.0,0.0,15,0.46693,0.02007,-0.06602,-0.00751,-0.18075,0.01923,0.705734,0.01894,-0.054873,-0.006184,-0.188552,0.015211
