varying,value_deg,alpha_deg,beta_deg,flap_deg,aileron_deg,elevator_deg,rudder_deg,CL_avl,CD_avl,CY_avl,Cl_avl,Cm_avl,Cn_avl,CL_simple,CD_simple,CY_simple,Cl_simple,Cm_simple,Cn_simple
elevator,-15,4.0,0.0,0.0,0.0,-15,0.0,0.33136,0.01737,0.0,0.0,0.1098,-0.0,0.650995,0.017834,0.0,0.0,-0.059682,0.0
elevator,-10,4.0,0.0,0.0,0.0,-10,0.0,0.3756,0.01309,0.0,0.0,0.0137,-0.0,0.669241,0.016333,0.0,0.0,-0.103206,0.0
elevator,-5,4.0,0.0,0.0,0.0,-5,0.0,0.42126,0.0112,-0.0,0.0,-0.0852,0.0,0.687488,0.015579,0.0,0.0,-0.146504,0.0
elevator,0,4.0,0.0,0.0,0.0,0,0.0,0.46835,0.0117,-0.0,0.0,-0.18689,0.0,0.705734,0.015573,0.0,0.0,-0.189574,0.0
elevator,5,4.0,0.0,0.0,0.0,5,0.0,0.51686,0.0146,-0.0,0.0,-0.29138,0.0,0.723981,0.016316,0.0,0.0,-0.232417,0.0
elevator,10,4.0,0.0,0.0,0.0,10,0.0,0.5668,0.0199,-0.0,0.0,-0.39866,0.0,0.742227,0.017806,0.0,0.0,-0.275033,0.0
elevator,15,4.0,0.0,0.0,0.0,15,0.0,0.61816,0.02759,-0.0,0.0,-0.50875,0.0,0.760473,0.020045,0.0,0.0,-0.317422,0.0
