case_name,speed_mps,bank_deg,converged,alpha_seed_deg,theta_seed_deg,front_collective_rpm,rear_collective_rpm,delta_a_deg,delta_e_deg,delta_r_deg,vinf_trim,alpha_trim_deg,beta_trim_deg,roll_trim_deg,pitch_trim_deg,yaw_trim_deg,max_dx_residual,trim_error
level_70,70,0,1,2.63250658258624,2.63250658258624,-2751.66748465479,540.425057878543,8869.08981154088,124409.345159891,11357.9738661768,23.1157934897474,88.3436126782115,-0.281713267539587,0,90,241.590915841479,5.34296606957696e-10,
level_85,85,0,0,0.217665913607122,0.217665913607122,19.4978581873292,1253.76270698666,605.780411866519,-1048.94059906732,39.5856780489231,17.9446017494991,89.9869146616361,0.00176275334207706,0,-90,-9.16281551055408,0.278397481215483,
bank_5deg_70,70,5,1,2.63250658258624,2.63250658258624,-1807.55515465846,-8747.44553843987,-3177.61621934572,-10441.5933536027,-10963.2696407477,25.4836831581001,-89.7699135014902,0.228701007218463,0,-90,180.06977849692,4.972910971901e-12,
