case_name,speed_mps,bank_deg,converged,max_output_residual,max_dx_residual,front_collective_rpm,rear_collective_rpm,front_tilt_deg_mean,vinf_trim,alpha_trim_deg,beta_trim_deg,roll_trim_deg,pitch_trim_deg,yaw_trim_deg,delta_f_deg,delta_a_deg,delta_e_deg,delta_r_deg,p_trim,q_trim,r_trim,use_avl_aero,allow_front_rpm_trim,trim_error
level_70,70,0,1,7.47939721852737e-16,0,1181.42797848053,0,90,70,2.63250658095872,2.0512697444423e-22,0,2.63250658095872,0,0,-3.63600521487786e-22,-15.0602653566512,8.88636712393775e-24,0,0,1.29246970711411e-25,0,1,
level_85,85,0,1,1.77775922637872e-14,0,1307.18451025152,0,90,85,0.217665890823584,-4.79597696510541e-22,0,0.217665890823584,0,0,4.08506759519039e-22,-2.73698651346197,5.90723568721867e-22,0,0,-1.04778903568607e-23,0,1,
bank_5deg_70,70,5,1,5.32715545432438e-05,0,1182.53121541897,0.00632806921244069,90,70,2.60390904150134,0.00317632936948874,5,2.60390904150134,0,0,-0.0127701793509404,-14.9133434276872,0.0557354175522745,0,0,0.0122076456049143,0,1,
