case_name,method,speed_mps,bank_deg,roll_deg,pitch_deg,alpha_deg,beta_deg,r_rad_s,delta_a_deg,delta_e_deg,delta_r_deg,front_collective_rpm,rear_collective_rpm,front_tilt_deg,vinf_mps,cost,force_residual_norm,moment_residual_norm,notes
level_70,manual_balance,70,0,0,2.63250656159287,2.63250656159287,0,0,0,-15.0602653533371,0,1181.42798128179,0,90,70,1.03183243185973e-15,3.17432013887776e-08,4.91951191189107e-09,Level-flight steady balance from grouped-input analytical search.
level_85,manual_balance,85,0,0,0.217665892937218,0.217665892937218,0,0,0,-2.73698679348301,0,1307.18450476605,0,90,85,9.5311136660602e-16,2.31397430274666e-08,2.04368211625202e-08,Level-flight steady balance from grouped-input analytical search.
bank_5deg_70,manual_balance,70,5,5,2.60397784787243,2.60397784787243,0.000124431330315995,0.0122052419534143,-0.0128824611858072,-14.914237792893,0.062233950374172,1182.53121541897,0.00632806921244069,90,70,3.17583079997063e-08,7.96178920897556e-06,2.6358155121321e-05,Banked steady-turn balance using grouped controls and body-rate consistency.
