source_file,source_kind,source_run_prefix,name,key,tilt_deg,vinf_mps,alpha_target_deg,trim_formulation,family,seed_name,phase,rear_fixed_rpm,success,acceptable,classification,score,max_normalized,worst_component,worst_component_normalized,front_collective_rpm,rear_collective_rpm,delta_f_deg,delta_a_deg,delta_e_deg,delta_r_deg,theta_deg,u_mps,w_mps,alpha_deg,gamma_deg,termination_string,max_state_residual,attempt_count,rear_on_ok,linearization_available,linearization_index_source,linearization_latest_file
newmap_hover_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_hover_anchor,BridgeFrontier_Tilt0_V5_A0,tilt_0_v_5_a_0,0,5,0,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V5_T0_A0_Gm0p005379,,NaN,1,1,exact_trim,2.01014489642082e-07,3.51944998816287e-07,q_dot,3.51944998816287e-07,1867.72093824228,1760.24181187888,-14.0644998857554,0,-4.51226611178803,0,-0.0296580546113437,5,2.15871986330569e-15,2.47371074636948e-14,-0.0296580546113684,Operating point specifications were successfully met.,NaN,NaN,1,0,,
newmap_hover_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_hover_anchor,BridgeFrontier_Tilt0_V5_A10,tilt_0_v_5_a_10,0,5,10,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V5_T0_A10_Gm9p884,,NaN,1,1,exact_trim,6.56369211712556e-08,1.23133867395154e-07,q_dot,1.23133867395154e-07,1857.82508187452,1748.55342078281,11.4049282044481,0,-15.3140413432305,0,-0.105297439963874,4.92403876506104,0.868240888334652,10,-10.1052974399639,Operating point specifications were successfully met.,NaN,NaN,1,0,,
newmap_cruise_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_anchor,BridgeFrontier_Tilt75_V60_A0,tilt_75_v_60_a_0,75,60,0,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V60_T75_A0_G15p92,,NaN,0,0,not_usable,2.38495186410773,4.53596353634954,q_dot,4.53596353634954,1463.13109909466,1139.98067311194,3.4328685610271,0,-11.0352310530443,0,13.8552254315369,60,2.73619631025993e-19,2.61287500828604e-19,13.8552254315369,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_anchor,BridgeFrontier_Tilt75_V60_Am5,tilt_75_v_60_a_m5,75,60,-5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V60_T75_Am5_G14p94,,NaN,1,1,exact_trim,1.00990377981619e-07,2.21861000682111e-07,w_dot,2.21861000682111e-07,1290.52950433501,1696.46143829927,11.1275731568396,0,-16.1154762618879,0,5.13716501523423,59.7716818855047,-5.22934456485949,-5,10.1371650152342,Operating point specifications were successfully met.,NaN,NaN,1,0,,
newmap_cruise_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_anchor,BridgeFrontier_Tilt75_V60_A5,tilt_75_v_60_a_5,75,60,5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,entry_BridgeFrontier_Tilt75_V60_Am5,,NaN,0,0,not_usable,1.66638527942058,3.06276435573787,q_dot,3.06276435573787,1333.812644426,1398.61681636858,-5.52481349683902,0,-25,0,14.0770527943792,60.684374181374,5.20278190973948,4.90027728139853,9.1767755129807,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_anchor,BridgeFrontier_Tilt90_V60_A0,tilt_90_v_60_a_0,90,60,0,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V60_T90_A0_G18p15,,NaN,0,0,not_usable,6.61303779093847,12.5260557854736,q_dot,12.5260557854736,1758.07205252421,923.400819348915,5.82002159510971,0,-10.2223688664789,0,21.8481107392876,60,-1.5186173856313e-18,-1.45017278153108e-18,21.8481107392876,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_anchor,BridgeFrontier_Tilt90_V60_Am5,tilt_90_v_60_a_m5,90,60,-5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,entry_BridgeFrontier_Tilt75_V60_Am5,,NaN,1,1,exact_trim,1.54203738845173e-08,2.78113344076166e-08,q_dot,2.78113344076166e-08,1139.01472493047,1519.47293412883,13.8273921348452,0,-24.3821334049941,0,-2.32377095799607,59.7716818855047,-5.22934456485949,-5,2.67622904200393,Operating point specifications were successfully met.,NaN,NaN,1,0,,
newmap_cruise_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_anchor,BridgeFrontier_Tilt90_V60_A5,tilt_90_v_60_a_5,90,60,5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,entry_BridgeFrontier_Tilt90_V60_Am5,,NaN,0,0,not_usable,15.0450353364036,28.5016789818421,q_dot,28.5016789818421,913.922126154525,1270.84738120464,-2.47580111541573,0,-21.0819665437424,0,5.3415144903971,59.7716375821994,5.23092522923363,5.00150736438512,0.340007126011987,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_anchor,BridgeFrontier_Tilt75_V75_A0,tilt_75_v_75_a_0,75,75,0,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V75_T75_A0_G4p049,,NaN,0,0,not_usable,10.8000024816366,20.4914245611368,q_dot,20.4914245611368,604.079189799487,125.944365712199,0.519239701088159,0,-2.21485655336944,0,-2.32780545638976,75,-1.15079291548109e-18,-8.79141028674958e-19,-2.32780545638976,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_anchor,BridgeFrontier_Tilt75_V75_Am5,tilt_75_v_75_a_m5,75,75,-5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,entry_BridgeFrontier_Tilt75_V60_Am5,,NaN,0,0,not_usable,32.2659661982354,60.7023151602252,q_dot,60.7023151602252,1290.52950433501,1696.46143829927,11.1275731568396,0,-16.1154762618879,0,5.13716501523423,74.7146023568809,-6.53668070607436,-5,10.1371650152342,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_anchor,BridgeFrontier_Tilt75_V75_A5,tilt_75_v_75_a_5,75,75,5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V75_T75_A5_G3p21,,NaN,0,0,not_usable,7.29462134395041,13.0932093224004,q_dot,13.0932093224004,840.262630973636,100.000332053142,-6.35677029512202,0,-13.5859330216537,0,8.2103695929914,74.7146023568809,6.53668070607436,5,3.2103695929914,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
